Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2023-12-04 14:47:12.835 +0530,"Failure",0:00:00,1,0,0,"20231204_144712.835/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'launch'",0
2023-12-04 14:52:22.543 +0530,"Failure",0:00:00,1,0,0,"20231204_145222.543/LogFile.txt","","BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got 'Chrome'.",0
2023-12-04 14:52:52.041 +0530,"Success",0:00:00,0,0,0,"20231204_145252.041/LogFile.txt","","",1
2023-12-04 15:01:14.291 +0530,"Success",0:00:00,0,0,0,"20231204_150114.291/LogFile.txt","","",1
2023-12-04 15:05:07.048 +0530,"Success",0:00:00,0,0,0,"20231204_150507.048/LogFile.txt","","",1
2023-12-04 15:10:19.294 +0530,"Success",0:00:00,0,0,0,"20231204_151019.294/LogFile.txt","","",1
2023-12-04 15:17:50.360 +0530,"Success",0:00:00,0,0,0,"20231204_151750.360/LogFile.txt","","",1
2023-12-04 15:18:11.307 +0530,"Success",0:00:00,0,0,0,"20231204_151811.307/LogFile.txt","","",1
2023-12-04 15:18:27.923 +0530,"Success",0:00:00,0,0,0,"20231204_151827.923/LogFile.txt","","",1
2023-12-04 15:23:03.286 +0530,"Success",0:00:00,0,0,0,"20231204_152303.286/LogFile.txt","","",1
2023-12-04 15:23:37.867 +0530,"Success",0:00:00,0,0,0,"20231204_152337.867/LogFile.txt","","",1
2023-12-04 15:24:20.204 +0530,"Success",0:00:00,0,0,0,"20231204_152420.204/LogFile.txt","","",1
2023-12-04 15:25:07.453 +0530,"Success",0:00:01,0,0,0,"20231204_152507.453/LogFile.txt","","",1
2023-12-04 15:27:02.161 +0530,"Success",0:00:02,0,0,0,"20231204_152702.161/LogFile.txt","","",1
2023-12-04 15:27:54.330 +0530,"Success",0:00:03,0,0,0,"20231204_152754.330/LogFile.txt","","",1
2023-12-04 15:59:18.572 +0530,"Success",0:00:00,0,0,0,"20231204_155918.572/LogFile.txt","","",1
2023-12-04 16:00:19.686 +0530,"Success",0:00:00,0,0,0,"20231204_160019.686/LogFile.txt","","",1
2023-12-04 16:04:45.908 +0530,"Success",0:00:00,0,0,0,"20231204_160445.908/LogFile.txt","","",1
2023-12-04 16:40:55.876 +0530,"Success",0:00:00,0,0,0,"20231204_164055.876/LogFile.txt","","",1
2023-12-04 16:41:10.283 +0530,"Success",0:00:00,0,0,0,"20231204_164110.283/LogFile.txt","","",1
2023-12-04 16:41:36.484 +0530,"Success",0:00:00,0,0,0,"20231204_164136.484/LogFile.txt","","",1
2023-12-04 16:41:51.171 +0530,"Success",0:00:00,0,0,0,"20231204_164151.171/LogFile.txt","","",1
2023-12-04 16:42:00.003 +0530,"Success",0:00:00,0,0,0,"20231204_164200.003/LogFile.txt","","",1
